Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.17 04:15;133.7900;2013.10.18 00:30;133.8100;2;20.4200;59(81);2;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.16 19:45;133.5600;2013.10.17 03:45;133.6700;11;111.3200;59(80);2;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.16 11:31;133.2200;2013.10.16 18:15;133.3100;9;90.9900;59(79);2;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 14:45;133.4600;2013.10.15 00:01;133.6900;23;233.2200;59(78);2;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 19:00;133.4700;2013.10.15 00:01;133.6900;22;223.0800;60(48);3;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.14 08:00;133.3200;2013.10.15 00:01;133.6900;37;375.1800;61(34);4;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.14 22:00;133.6600;2013.10.15 00:01;133.6900;3;30.4200;58(162);1;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.14 21:05;133.5500;2013.10.14 21:55;133.5900;4;40.6000;58(161);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.14 17:25;133.4000;2013.10.14 21:00;133.4800;8;81.2800;58(160);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.14 07:45;133.3300;2013.10.14 17:20;133.3600;3;30.5400;58(159);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 14:35;133.4300;2013.10.14 00:00;133.2200;-21;-212.9400;58(158);1;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 09:00;133.2400;2013.10.11 12:18;133.5300;29;294.6400;58(157);1;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.11 09:45;133.3100;2013.10.11 12:18;133.5300;22;223.5200;59(77);2;Close all Deals(2) - Global
